DispositionScore,PlanetaryRadius[Earthradii,TCEPlanetNumbe,StellarEffectiveTemperatureUpperUnc.[K,TransitSignal-to-Nois,ExoplanetCandidate
0.0,56.59,1.0,152.0,1495.4,0.0
0.0,34.88,1.0,166.0,1607.2,0.0
0.0,70.33,1.0,164.0,3921.8,0.0
0.0,131.4,1.0,76.0,47.7,0.0
0.0,5.07,1.0,217.0,26.2,0.0
0.0,67.45,1.0,166.0,5867.8,0.0
1.0,2.22,1.0,103.0,51.8,1.0
0.0,2.03,2.0,177.0,14.0,0.0
0.798,1.17,1.0,189.0,9.7,1.0
1.0,0.96,1.0,77.0,18.3,1.0
0.0,0.91,1.0,181.0,10.5,0.0
0.993,0.49,1.0,167.0,9.2,1.0
0.996,2.13,1.0,71.0,12.8,1.0
0.989,2.09,1.0,77.0,14.6,1.0
0.993,1.64,1.0,73.0,12.1,1.0
0.0,38.47,1.0,158.0,1002.8,0.0
0.0,57.08,1.0,175.0,2070.3,0.0
0.0,44.08,1.0,152.0,34.2,0.0
0.0,0.55,1.0,149.0,21.0,0.0
0.0,3.6,1.0,80.0,55.9,0.0
0.999,1.16,1.0,71.0,44.4,1.0
0.0,64.15,1.0,163.0,3069.4,0.0
1.0,2.81,3.0,112.0,73.4,1.0
1.0,10.3,1.0,70.0,39.9,1.0
0.998,1.63,1.0,107.0,15.0,1.0
0.0,51.53,1.0,161.0,97.5,0.0
0.873,0.7,3.0,114.0,9.3,1.0
0.0,2.17,1.0,168.0,38.0,0.0
0.912,2.54,1.0,70.0,23.8,1.0
1.0,1.7,1.0,179.0,22.4,1.0
0.999,1.37,1.0,120.0,25.9,1.0
1.0,0.99,1.0,100.0,41.6,1.0
1.0,2.21,1.0,165.0,18.2,1.0
0.997,2.79,1.0,75.0,19.3,1.0
0.0,0.66,1.0,167.0,14.3,0.0
1.0,1.43,2.0,111.0,44.2,1.0
0.0,1.88,1.0,102.0,58.0,0.0
0.0,110.58,1.0,167.0,245.2,0.0
0.999,10.51,1.0,106.0,388.2,1.0
1.0,0.99,1.0,117.0,12.4,1.0
0.0,7.74,2.0,104.0,577.1,1.0
0.0,0.77,3.0,100.0,56.6,0.0
0.0,1.45,1.0,155.0,63.6,0.0
0.91,2.08,2.0,152.0,11.4,1.0
0.915,1.18,2.0,79.0,10.2,1.0
0.0,0.91,1.0,164.0,11.9,0.0
1.0,1.27,1.0,152.0,33.3,1.0
0.0,23.55,1.0,153.0,45.5,0.0
0.999,1.95,1.0,82.0,18.0,1.0
0.901,3.94,1.0,175.0,12.6,1.0
0.0,131.16,1.0,190.0,711.8,0.0
1.0,3.08,1.0,102.0,157.3,1.0
0.0,55.45,1.0,69.0,1148.3,0.0
1.0,2.11,3.0,100.0,43.6,1.0
0.383,3.14,1.0,174.0,13.8,1.0
0.0,1.49,5.0,174.0,14.3,0.0
1.0,1.61,1.0,103.0,17.5,1.0
0.0,22.58,1.0,164.0,35.7,0.0
0.0,1.29,1.0,184.0,17.6,0.0
0.934,0.81,1.0,170.0,12.9,1.0
1.0,1.33,1.0,61.0,18.0,1.0
0.0,0.76,1.0,151.0,12.1,0.0
0.0,0.66,1.0,152.0,15.6,0.0
0.0,10.65,1.0,201.0,102.7,0.0
0.0,0.97,1.0,158.0,10.3,0.0
0.0,1.81,1.0,76.0,21.9,0.0
0.0,32.92,1.0,211.0,33.0,0.0
0.0,48.13,1.0,155.0,72.6,0.0
0.0,4.52,1.0,163.0,196.4,1.0
0.0,21.43,1.0,176.0,28.9,0.0
1.0,2.46,1.0,90.0,98.2,1.0
1.0,3.63,3.0,164.0,50.8,1.0
0.0,510.48,1.0,173.0,289.1,0.0
0.0,57.51,1.0,159.0,90.4,0.0
0.0,0.97,1.0,139.0,12.1,0.0
0.931,2.33,1.0,182.0,35.2,1.0
0.0,19.02,1.0,153.0,214.5,0.0
0.0,40.3,1.0,149.0,622.8,0.0
1.0,5.12,1.0,145.0,94.6,1.0
0.973,0.97,2.0,107.0,22.3,1.0
0.986,3.42,1.0,123.0,31.3,1.0
0.45,54.16,1.0,199.0,3162.0,0.0
0.0,16.15,1.0,155.0,41.3,0.0
0.002,16.67,1.0,197.0,699.9,0.0
0.193,2.0,1.0,184.0,12.0,1.0
0.0,22.89,1.0,144.0,151.8,0.0
0.0,1.43,2.0,85.0,189.5,1.0
0.0,57.6,1.0,164.0,1575.9,0.0
0.997,6.57,1.0,169.0,79.7,1.0
1.0,0.49,1.0,0.0,9.6,1.0
0.905,1.25,2.0,78.0,9.7,1.0
0.0,18.93,1.0,162.0,42.9,0.0
1.0,2.34,1.0,74.0,27.6,1.0
0.999,1.99,1.0,134.0,18.4,1.0
0.0,18.7,1.0,183.0,239.5,0.0
0.0,31.06,1.0,170.0,47.4,0.0
1.0,2.43,1.0,106.0,59.9,1.0
0.0,2.27,1.0,198.0,25.9,0.0
1.0,2.44,3.0,181.0,18.7,1.0
1.0,3.65,2.0,115.0,37.9,1.0
1.0,1.31,1.0,83.0,13.4,1.0
0.0,38.86,1.0,190.0,58.0,0.0
0.0,21.23,1.0,169.0,38.9,0.0
0.0,0.98,1.0,176.0,17.2,0.0
1.0,1.53,1.0,183.0,22.9,1.0
0.95,1.04,1.0,175.0,8.7,1.0
0.008,23.34,1.0,153.0,506.4,0.0
1.0,2.16,1.0,114.0,42.5,1.0
0.0,163.25,1.0,80.0,71.2,0.0
0.229,14.63,1.0,109.0,10.9,0.0
1.0,1.29,2.0,75.0,47.1,1.0
0.993,1.15,1.0,77.0,12.4,1.0
1.0,1.31,1.0,159.0,16.2,1.0
0.0,17.38,1.0,161.0,103.3,0.0
0.0,4.87,1.0,164.0,191.3,0.0
0.0,168.34,1.0,180.0,78.0,0.0
1.0,4.54,1.0,51.0,32.3,1.0
1.0,9.5,1.0,194.0,228.4,1.0
0.0,96.03,1.0,161.0,18.9,0.0
1.0,1.37,1.0,83.0,29.7,1.0
0.0,10.68,1.0,192.0,148.1,0.0
1.0,1.43,1.0,75.0,19.3,1.0
0.0,28.96,1.0,163.0,22.2,0.0
0.0,57.77,1.0,150.0,578.6,0.0
0.0,40.94,1.0,152.0,338.2,0.0
0.571,1.27,1.0,334.0,12.1,1.0
0.996,2.23,1.0,111.0,30.0,1.0
0.0,136.47,1.0,230.0,599.8,0.0
0.0,49.82,1.0,78.0,938.2,0.0
0.981,2.72,2.0,70.0,9.8,1.0
0.0,24.77,1.0,162.0,192.2,0.0
0.0,39.16,1.0,173.0,380.6,0.0
0.644,28.94,1.0,168.0,204.7,0.0
0.0,1.72,1.0,190.0,38.4,0.0
1.0,2.54,1.0,74.0,19.1,1.0
0.0,89.16,1.0,175.0,4311.3,0.0
1.0,1.22,1.0,110.0,36.7,1.0
0.276,32.19,1.0,148.0,2493.3,0.0
0.0,44.48,1.0,169.0,2541.2,0.0
0.0,0.77,1.0,151.0,14.4,0.0
0.0,66.65,1.0,174.0,3497.6,0.0
0.998,7.94,1.0,158.0,707.3,1.0
0.997,1.49,1.0,168.0,15.9,1.0
0.0,25.72,1.0,156.0,74.5,0.0
1.0,2.96,2.0,176.0,20.5,1.0
1.0,1.15,1.0,77.0,21.1,1.0
0.0,54.56,1.0,132.0,1758.7,0.0
0.0,5.08,1.0,168.0,94.5,0.0
0.0,120.02,1.0,83.0,277.9,0.0
